,urls
145,https://medium.com/sportsraid/15-unheralded-college-basketball-players-became-nba-stars-draft-draymond-kawhi-siakam-lowry-dbf1c0bcee0f?source=topic_page---------828------------------1
146,https://medium.com/runners-life/revisiting-sammy-wanjiru-the-man-who-changed-the-marathon-c2be87d13ac2?source=topic_page---------829------------------1
147,https://medium.com/@TubularLabs/in-2019-fifa-womens-world-cup-is-social-video-gold-2479a98957ee?source=topic_page---------830------------------1
148,https://medium.com/@LakerTom/lakers-next-move-after-ad-trade-b6a6abc7c11?source=topic_page---------831------------------1
149,https://medium.com/sportsraid/jarrett-culver-2019-nba-draft-prospct-already-good-can-he-be-a-star-texas-tech-basketball-535b83dc83cc?source=topic_page---------832------------------1
150,https://medium.com/nautilus-magazine/the-impossible-physiology-of-the-free-diver-95e6c3944824?source=topic_page---------833------------------1
151,https://medium.com/park-recommendations/sprawlball-a-visual-tour-of-the-new-era-of-the-nba-kirk-goldsberry-80e083931989?source=topic_page---------834------------------1
152,https://towardsdatascience.com/after-raw-stats-exploring-possession-styles-with-data-embeddings-d3ebef718abf?source=topic_page---------835------------------1
153,https://blog.usejournal.com/what-i-love-about-kawhi-leonard-7fb6c8d882bb?source=topic_page---------836------------------1
154,https://medium.com/authority-magazine/how-to-transition-from-athlete-to-entrepreneur-f77d19d20d0c?source=topic_page---------837------------------1
155,https://medium.com/@billfirman/i-used-to-love-baseball-eec06af93fad?source=topic_page---------838------------------1
156,https://metsinsider.mlblogs.com/jeff-mcneils-unique-path-to-the-mlb-77840fb55dba?source=topic_page---------839------------------1
157,https://medium.com/@hesky90/all-elite-wrestling-the-future-is-now-eaed2a145686?source=topic_page---------840------------------1
158,https://medium.com/@jt_miller/kawhi-leonard-is-the-best-player-in-the-nba-19ff52498611?source=topic_page---------841------------------1
159,https://medium.com/@jamesschapiro/the-red-sox-have-done-it-again-cf07fd529329?source=topic_page---------842------------------1
160,https://medium.com/@zach_pereles/ty-jerome-nba-draft-prospect-evaluation-highlights-strengths-weaknesses-aa34303cd786?source=topic_page---------843------------------1
161,https://medium.com/@LakerTom/the-right-strategy-to-trade-for-ad-9b941959588f?source=topic_page---------844------------------1
162,https://medium.com/@Gordonjapn/blame-it-on-the-black-guy-or-the-white-guy-or-any-foreigner-72af57530b63?source=topic_page---------845------------------1
163,https://medium.com/airbnbmag/barbados-road-tennis-927662ec4ad0?source=topic_page---------846------------------1
164,https://towardsdatascience.com/moneyball-linear-regression-76034259af5e?source=topic_page---------847------------------1
165,https://medium.com/@asktumma/nba-finals-ten-takes-after-two-games-where-iggy-stole-all-of-the-hearts-588f721f0725?source=topic_page---------848------------------1
166,https://medium.com/@kylegriffin_16603/who-is-michael-jordan-the-person-the-grudge-holder-and-athlete-65233d3a163b?source=topic_page---------849------------------1
167,https://ourgame.mlblogs.com/the-original-reds-541b6c21a7c5?source=topic_page---------850------------------1
168,https://dodgers.mlblogs.com/buehlers-most-dominant-outing-of-the-year-runs-dodger-win-streak-to-six-527ff9bab81a?source=topic_page---------851------------------1
169,https://medium.com/@ttfcui/the-ecstasy-of-jeopardy-james-9b9e1f40a1b3?source=topic_page---------852------------------1
170,https://medium.com/sportsraid/ja-morant-2019-nba-draft-number-two-pick-passing-athleticism-iq-defense-body-scouting-report-97200e88d818?source=topic_page---------853------------------1
171,https://medium.com/new-york-times-magazine/how-data-and-some-breathtaking-soccer-brought-liverpool-to-the-cusp-of-glory-d740cf0e0ee9?source=topic_page---------854------------------1
172,https://medium.com/the-sports-niche/what-ive-learned-from-playing-an-unconventional-sport-853fa85ae59a?source=topic_page---------855------------------1
173,https://medium.com/@christoph_21/a-heavy-weight-b40a9dc8be33?source=topic_page---------856------------------1
